epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.344,1.42928,2.10534,1.23653,0.54594,0.66881,0.61357,0.45028,0.96177,2.47397,1.04792,0.000202851,0.000202851,0.000202851
2,278.694,1.18151,0.82164,1.12344,0.60071,0.87666,0.68796,0.47376,1.0952,4.2331,1.12549,0.000407113,0.000407113,0.000407113
3,376.561,1.11282,0.70282,1.10635,0.93348,0.95348,0.97861,0.68455,1.13322,0.60633,1.12334,0.000607251,0.000607251,0.000607251
4,475.082,1.08637,0.62869,1.08542,0.89452,0.92993,0.95261,0.69298,1.00076,0.6163,1.08371,0.000606437,0.000606437,0.000606437
5,578.37,1.07392,0.58082,1.08932,0.95799,0.97763,0.98693,0.76336,0.89888,0.46791,1.05335,0.00060025,0.00060025,0.00060025
6,680.506,1.03062,0.57205,1.07542,0.97866,0.978,0.98233,0.73369,0.96739,0.50403,1.09385,0.000594062,0.000594062,0.000594062
7,770.296,1.07009,0.56183,1.09044,0.97739,0.9902,0.98473,0.75473,0.90111,0.42907,1.04215,0.000587875,0.000587875,0.000587875
8,900.962,1.01075,0.52302,1.07492,0.9705,0.9855,0.98153,0.7291,0.99562,0.43244,1.08176,0.000581687,0.000581687,0.000581687
9,985.948,0.99554,0.49391,1.07836,0.98598,0.99169,0.98642,0.76734,0.88185,0.37713,1.03533,0.0005755,0.0005755,0.0005755
10,1108.28,1.00975,0.50688,1.06962,0.98273,0.99296,0.98759,0.75867,0.91916,0.4072,1.05452,0.000569313,0.000569313,0.000569313
11,1203.38,0.99524,0.48807,1.06732,0.97954,0.98655,0.98629,0.76573,0.86286,0.37718,1.04387,0.000563125,0.000563125,0.000563125
12,1327.4,0.96631,0.4739,1.05804,0.96333,0.98813,0.98624,0.77505,0.86639,0.3953,1.03372,0.000556938,0.000556938,0.000556938
13,1438.87,0.95458,0.45951,1.05317,0.96748,0.97999,0.9869,0.78722,0.81857,0.36321,1.00716,0.00055075,0.00055075,0.00055075
14,1543.59,0.9451,0.4566,1.05475,0.95663,0.9862,0.9784,0.78057,0.83276,0.36943,1.0191,0.000544563,0.000544563,0.000544563
15,1673.18,0.9296,0.44318,1.03797,0.98154,0.98291,0.98545,0.77578,0.85972,0.3664,1.03339,0.000538375,0.000538375,0.000538375
16,1756.17,0.91032,0.43317,1.03858,0.98384,0.99136,0.98531,0.78198,0.83451,0.35166,1.03562,0.000532187,0.000532187,0.000532187
17,1856.82,0.91081,0.43423,1.04647,0.98075,0.98287,0.98786,0.77125,0.89172,0.37181,1.03714,0.000526,0.000526,0.000526
18,2003.43,0.89215,0.419,1.02532,0.98036,0.9833,0.9856,0.77856,0.8323,0.35894,1.0263,0.000519812,0.000519812,0.000519812
19,2116.42,0.88198,0.42938,1.03058,0.98155,0.98243,0.98554,0.78566,0.82809,0.35927,1.02247,0.000513625,0.000513625,0.000513625
20,2237.69,0.88241,0.42193,1.02473,0.97773,0.98039,0.9861,0.78193,0.84961,0.36903,1.04141,0.000507438,0.000507438,0.000507438
21,2324.94,0.88793,0.42636,1.02526,0.97772,0.9835,0.98684,0.7643,0.87356,0.37015,1.0346,0.00050125,0.00050125,0.00050125
22,2433.54,0.88763,0.42357,1.02771,0.98163,0.99301,0.98621,0.77237,0.86972,0.3721,1.04415,0.000495063,0.000495063,0.000495063
23,2530.7,0.86463,0.40587,1.02981,0.98629,0.99301,0.991,0.78236,0.87694,0.35383,1.05689,0.000488875,0.000488875,0.000488875
